serialno,rac1p,lanp,anc1p
2023GQ0002942,9,7300.0,222
2023GQ0002974,1,0.0,32
2023GQ0002982,1,0.0,94
2023GQ0002993,9,1200.0,210
2023GQ0003016,9,1200.0,210
2023GQ0003019,1,0.0,82
2023GQ0003025,9,1200.0,210
2023GQ0003028,1,0.0,999
2023GQ0003031,1,0.0,999
2023GQ0003036,1,0.0,924
2023GQ0003050,1,0.0,50
2023GQ0003105,2,1200.0,902
2023GQ0003167,9,1200.0,210
2023GQ0003172,1,0.0,999
2023GQ0003174,2,0.0,615
2023GQ0003175,1,0.0,51
2023GQ0003197,1,0.0,999
2023GQ0003229,1,0.0,142
2023GQ0003232,1,0.0,22
2023GQ0003236,1,0.0,999
2023GQ0003296,2,0.0,902
2023GQ0003302,1,0.0,22
2023GQ0003306,1,0.0,50
2023GQ0003332,1,0.0,32
2023GQ0003347,2,0.0,902
2023GQ0003349,6,1350.0,615
2023GQ0003353,1,0.0,999
2023GQ0003370,1,1200.0,999
2023GQ0003390,1,0.0,999
2023GQ0003404,1,0.0,999
2023GQ0003444,1,0.0,26
2023GQ0003450,1,0.0,32
2023GQ0003452,1,1200.0,213
2023GQ0003455,2,0.0,902
2023GQ0003457,9,0.0,271
2023GQ0003467,1,0.0,999
2023GQ0003469,1,0.0,924
2023GQ0003478,2,0.0,902
2023GQ0003487,9,1200.0,218
2023GQ0003509,1,0.0,999
2023GQ0003514,1,0.0,999
2023GQ0003550,1,0.0,210
2023GQ0003590,1,0.0,88
2023GQ0003625,8,1200.0,210
2023GQ0003662,8,1200.0,210
2023GQ0003685,1,0.0,999
2023GQ0003706,2,1025.0,598
2023GQ0003735,1,0.0,939
2023GQ0003743,6,4500.0,999
2023GQ0003777,8,1200.0,290
2023GQ0003809,1,0.0,97
2023GQ0003810,2,0.0,999
2023GQ0003850,6,1350.0,615
2023GQ0003852,2,0.0,902
2023GQ0003871,1,1200.0,210
2023GQ0003873,1,0.0,924
2023GQ0003889,2,0.0,999
2023GQ0003905,1,0.0,26
2023GQ0003939,1,1200.0,999
2023GQ0003940,1,0.0,999
2023GQ0003943,1,0.0,32
2023GQ0003981,9,1200.0,210
2023GQ0004017,2,0.0,902
2023GQ0004069,1,0.0,999
2023GQ0004081,2,0.0,902
2023GQ0004088,2,0.0,902
2023GQ0004097,1,0.0,999
2023GQ0004130,2,0.0,902
2023GQ0004139,2,0.0,902
2023GQ0004148,2,0.0,902
2023GQ0004149,2,0.0,902
2023GQ0004162,8,1200.0,211
2023GQ0004171,2,0.0,999
2023GQ0004184,1,0.0,924
2023GQ0004190,1,1200.0,999
2023GQ0004191,1,0.0,32
2023GQ0004195,8,1200.0,211
2023GQ0004213,1,0.0,924
2023GQ0004215,1,1200.0,999
2023GQ0004242,9,1200.0,210
2023GQ0004243,1,0.0,999
2023GQ0004264,9,1200.0,290
2023GQ0004267,1,0.0,999
2023GQ0004279,1,1200.0,999
2023GQ0004313,1,0.0,999
2023GQ0004316,2,0.0,599
2023GQ0004348,9,0.0,210
2023GQ0004374,1,0.0,50
2023GQ0004398,8,1200.0,210
2023GQ0004409,8,1200.0,210
2023GQ0004431,9,0.0,917
2023GQ0004432,1,0.0,999
2023GQ0004439,1,0.0,142
2023GQ0004445,2,0.0,999
2023GQ0004450,1,0.0,50
2023GQ0004452,1,1110.0,32
2023GQ0004535,1,0.0,50
2023GQ0004555,9,1200.0,210
2023GQ0004567,2,0.0,902
2023GQ0004591,5,0.0,290
2023GQ0004628,9,1200.0,211
2023GQ0004655,9,1200.0,210
2023GQ0004658,1,0.0,999
2023GQ0004659,9,0.0,210
2023GQ0004682,2,0.0,902
2023GQ0004695,1,0.0,999
2023GQ0004697,1,1200.0,210
2023GQ0004734,2,0.0,902
2023GQ0004742,1,0.0,924
2023GQ0004761,2,0.0,999
2023GQ0004818,8,1200.0,210
2023GQ0004842,8,0.0,218
2023GQ0004848,2,0.0,999
2023GQ0004865,1,0.0,939
2023GQ0004893,2,0.0,999
2023GQ0004900,1,0.0,210
2023GQ0004920,9,1200.0,210
2023GQ0004926,1,0.0,999
2023GQ0004934,1,0.0,999
2023GQ0004954,2,0.0,902
2023GQ0004971,9,0.0,211
2023GQ0005006,1,0.0,999
2023GQ0005021,1,1200.0,999
2023GQ0005034,2,0.0,902
2023GQ0005053,1,0.0,924
2023GQ0005090,1,0.0,21
2023GQ0005118,9,0.0,902
2023GQ0005133,1,0.0,999
2023GQ0005141,9,1200.0,210
2023GQ0005167,1,0.0,999
2023GQ0005196,9,1200.0,261
2023GQ0005199,1,0.0,32
2023GQ0005224,2,0.0,903
2023GQ0005246,1,0.0,924
2023GQ0005250,6,0.0,999
2023GQ0005275,1,0.0,924
2023GQ0005282,1,0.0,51
2023GQ0005292,2,0.0,903
2023GQ0005311,1,0.0,32
2023GQ0005333,2,0.0,999
2023GQ0005352,6,0.0,615
2023GQ0005358,1,0.0,111
2023GQ0005361,1,0.0,999
2023GQ0005363,1,0.0,87
2023GQ0005372,1,0.0,50
2023GQ0005392,9,0.0,920
2023GQ0005399,2,0.0,902
2023GQ0005409,2,0.0,902
2023GQ0005421,1,0.0,996
2023GQ0005433,1,1200.0,999
2023GQ0005445,1,0.0,999
2023GQ0005450,1,0.0,999
2023GQ0005456,1,0.0,999
2023GQ0005457,9,0.0,32
2023GQ0005463,1,0.0,32
2023GQ0005477,8,0.0,290
2023GQ0005479,1,0.0,999
2023GQ0005485,1,0.0,32
2023GQ0005487,1,0.0,999
2023GQ0005488,1,1200.0,211
2023GQ0005513,1,1200.0,50
2023GQ0005517,9,0.0,195
2023GQ0005531,9,1170.0,902
2023GQ0005552,1,0.0,939
2023GQ0005577,1,0.0,88
2023GQ0005578,9,0.0,210
2023GQ0005594,2,0.0,999
2023GQ0005603,1,0.0,999
2023GQ0005607,1,0.0,22
2023GQ0005614,1,0.0,22
2023GQ0005616,9,0.0,210
2023GQ0005623,1,0.0,999
2023GQ0005627,1,0.0,88
2023GQ0005638,2,0.0,902
2023GQ0005653,2,0.0,999
2023GQ0005661,2,0.0,902
2023GQ0005698,1,0.0,999
2023GQ0005730,2,0.0,999
2023GQ0005757,2,0.0,902
2023GQ0005758,1,0.0,21
2023GQ0005764,1,0.0,999
2023GQ0005771,1,0.0,924
2023GQ0005787,1,0.0,924
2023GQ0005788,9,0.0,210
2023GQ0005799,9,0.0,939
2023GQ0005826,2,0.0,902
2023GQ0005837,9,1200.0,210
2023GQ0005845,2,0.0,939
2023GQ0005846,1,0.0,999
2023GQ0005847,2,0.0,999
2023GQ0005850,1,0.0,50
2023GQ0005917,1,0.0,999
2023GQ0005921,2,0.0,902
2023GQ0005949,2,0.0,902
2023GQ0005954,2,0.0,902
2023GQ0005979,9,0.0,795
2023GQ0005983,2,0.0,902
2023GQ0005985,9,1200.0,290
2023GQ0005988,8,0.0,218
2023GQ0006003,1,0.0,50
2023GQ0006027,9,0.0,32
2023GQ0006032,2,0.0,902
2023GQ0006033,1,1200.0,32
2023GQ0006038,1,0.0,999
2023GQ0006054,1,0.0,924
2023GQ0006071,9,0.0,995
2023GQ0006107,1,0.0,999
2023GQ0006124,1,1200.0,999
2023GQ0006195,1,0.0,32
2023GQ0006228,9,0.0,211
2023GQ0006232,1,0.0,999
2023GQ0006245,3,0.0,920
2023GQ0006248,1,0.0,32
2023GQ0006256,1,0.0,999
2023GQ0006268,9,0.0,999
2023GQ0006279,1,0.0,996
2023GQ0006281,1,0.0,87
2023GQ0006290,2,0.0,902
2023GQ0006295,2,0.0,939
2023GQ0006309,1,0.0,999
2023GQ0006316,9,1200.0,210
2023GQ0006399,9,0.0,200
2023GQ0006405,1,1200.0,210
2023GQ0006424,2,0.0,902
2023GQ0006427,1,0.0,50
2023GQ0006480,8,0.0,210
2023GQ0006481,2,0.0,902
2023GQ0006496,1,0.0,210
2023GQ0006507,9,1200.0,999
2023GQ0006518,2,0.0,902
2023GQ0006528,2,0.0,999
2023GQ0006576,1,0.0,999
2023GQ0006587,6,1350.0,615
2023GQ0006602,1,0.0,999
2023GQ0006620,1,0.0,999
2023GQ0006629,9,1200.0,210
2023GQ0006633,9,1200.0,210
2023GQ0006642,1,0.0,924
2023GQ0006646,2,0.0,902
2023GQ0006669,1,0.0,32
2023GQ0006707,9,0.0,210
2023GQ0006728,2,0.0,902
2023GQ0006745,9,0.0,215
2023GQ0006752,1,1200.0,210
2023GQ0006767,1,1200.0,999
2023GQ0006775,9,1200.0,210
2023GQ0006784,1,0.0,999
2023GQ0006795,1,0.0,924
2023GQ0006802,1,0.0,88
2023GQ0006820,2,0.0,902
2023GQ0006831,1,0.0,22
2023GQ0006835,1,0.0,22
2023GQ0006849,8,0.0,210
2023GQ0006862,6,0.0,615
2023GQ0006865,2,0.0,939
2023GQ0006907,1,0.0,999
2023GQ0006938,2,0.0,902
2023GQ0006941,6,1970.0,706
2023GQ0006953,2,0.0,999
2023GQ0006961,1,0.0,22
2023GQ0006986,1,0.0,999
2023GQ0007011,5,1200.0,999
2023GQ0007012,1,0.0,22
2023GQ0007028,1,1200.0,22
2023GQ0007045,1,0.0,924
2023GQ0007052,9,1200.0,290
2023GQ0007056,1,0.0,32
2023GQ0007093,1,0.0,32
2023GQ0007097,2,0.0,902
2023GQ0007112,1,0.0,939
2023GQ0007133,9,0.0,999
2023GQ0007136,1,0.0,999
2023GQ0007156,1,0.0,82
2023GQ0007158,2,0.0,902
2023GQ0007191,9,1200.0,211
2023GQ0007211,9,0.0,211
2023GQ0007221,8,1200.0,210
2023GQ0007253,1,0.0,924
2023GQ0007254,2,0.0,902
2023GQ0007267,1,0.0,999
2023GQ0007286,2,0.0,999
2023GQ0007324,9,1200.0,222
2023GQ0007358,2,0.0,999
2023GQ0007365,1,0.0,999
2023GQ0007384,1,0.0,51
2023GQ0007424,1,0.0,939
2023GQ0007449,1,0.0,999
2023GQ0007485,1,0.0,999
2023GQ0007492,1,0.0,939
2023GQ0007503,1,0.0,51
2023GQ0007530,9,1200.0,218
2023GQ0007562,1,1278.0,152
2023GQ0007568,9,0.0,271
2023GQ0007596,8,1200.0,210
2023GQ0007617,1,0.0,32
2023GQ0007625,2,0.0,902
2023GQ0007650,1,0.0,210
2023GQ0007655,2,0.0,903
2023GQ0007663,8,0.0,999
2023GQ0007667,1,0.0,22
2023GQ0007672,9,1200.0,210
2023GQ0007674,1,0.0,924
2023GQ0007718,1,0.0,32
2023GQ0007738,2,0.0,902
2023GQ0007757,8,1200.0,210
2023GQ0007767,1,0.0,210
2023GQ0007769,9,0.0,211
2023GQ0007772,6,2430.0,785
2023GQ0007801,9,1200.0,210
2023GQ0007802,1,0.0,32
2023GQ0007822,1,1200.0,211
2023GQ0007823,9,0.0,902
2023GQ0007826,2,0.0,939
2023GQ0007832,2,1200.0,902
2023GQ0007848,1,0.0,50
2023GQ0007855,1,0.0,999
2023GQ0007860,1,0.0,999
2023GQ0007925,6,1750.0,615
2023GQ0007937,1,0.0,50
2023GQ0007940,1,0.0,999
2023GQ0007947,6,0.0,999
2023GQ0007970,1,0.0,999
2023GQ0007992,1,0.0,924
2023GQ0007998,1,0.0,999
2023GQ0007999,2,0.0,902
2023GQ0008006,7,1960.0,850
2023GQ0008034,2,0.0,903
2023GQ0008047,1,1200.0,999
2023GQ0008050,1,1200.0,999
2023GQ0008059,2,0.0,999
2023GQ0008094,1,0.0,51
